metric,estimate,ci_low,ci_high,n_boot,seed,status
difference_in_mean_copies,0.6375451887773829,0.12146146275924395,1.248902164661744,2000,580,ok
difference_in_share_copied_2plus,0.036707180230522884,0.010028612555263208,0.06502860195829117,2000,580,ok
