outcome,group,n_group,n_reference,median_group,median_reference,mean_group,mean_reference,u_statistic,p_value,rank_biserial,status
copies,high-risk signal,1159,11806,1.0,1.0,2.8697152717860224,2.2321700830086395,7130585.0,0.0020303762849309807,0.04224289224545741,ok
repos,high-risk signal,1159,11806,1.0,1.0,2.1207937877480587,1.766644079281721,7164207.0,0.0002458881866564067,0.047157256287548854,ok
