threshold,lineage_pairs,families,differing_pairs,families_with_differences,ordered_pairs,ordered_newer_adds,ordered_newer_drops,ordered_pairs_canonical,ordered_pairs_mixed,ordered_pairs_non_canonical
0.3,332,154,34,10,12,1,0,7,5,0
0.4,284,147,27,7,11,1,0,6,5,0
0.5,245,141,18,6,10,1,0,5,5,0
0.6,210,130,15,4,9,1,0,4,5,0
0.7,178,114,13,4,8,1,0,4,4,0
0.8,137,90,7,3,6,1,0,3,3,0
