scenario,contents,high_risk_contents,high_risk_share,share_ci_low,share_ci_high,mean_copies_high_risk,mean_copies_other,mean_copies_ratio,mwu_p_copies,rank_biserial_copies
"main (severity 6, main population)",12965,1159,0.0894,0.08460422810061659,0.0944280675900293,2.8697152717860224,2.2321700830086395,1.2856167608509765,0.0020303762849309807,0.04224289224545741
severity cutoff 5,12965,1946,0.1501,0.1440521230257856,0.1563479914478906,2.774409044193217,2.2034667392685363,1.2591109249573746,4.423186650003779e-08,0.05985125943817304
severity cutoff 7,12965,355,0.0274,0.02470927359222947,0.030333535057048784,3.27887323943662,2.261300555114988,1.4499944432507725,0.01954671696033974,0.05588433056706621
front-matter-valid subset,11291,1068,0.0946,0.08932775756596598,0.10012523003215451,2.9822097378277155,2.3394306954905604,1.2747587451836735,0.00027903296781937414,0.05213486443325088
excluding top 10 most-copied contents,12955,1156,0.0892,0.08444393533297381,0.09426351055867807,2.4948096885813147,2.158572760403424,1.1557681697581739,0.0031968374840607365,0.040375760540377836
excluding template families,12904,1148,0.089,0.08417415226713511,0.09399982563287045,2.8745644599303137,2.2265226267437903,1.2910555794055691,0.0038277175230914994,0.03973210210398892
