group,contents,occurrences,mean_copies,median_copies,share_copied_2plus,share_cross_repo,max_copies
high-risk signal,1159,3326,2.87,1.0,0.2934,0.2597,171
no high-risk signal,11841,26460,2.235,1.0,0.2566,0.2156,188
