file_sha,rule_id,label,missed_category,notes
01570f1ae5a1d813af27dd2d8f3089e7fd7b46c6,R-CRD-001,,,
00ba580d3441a17cc93c5da4b0cb904022640eec,R-CRD-001,,,
0067c2d984987704e79ec14bd2d55ebb44dfcf9b,R-DST-001,,,
0067c2d984987704e79ec14bd2d55ebb44dfcf9b,R-CRD-001,,,
012eda01ab668a6f461371cbbd543606d5cf70cd,R-RCE-001,,,
012eda01ab668a6f461371cbbd543606d5cf70cd,R-CRD-001,,,
012ce4e12f6594a56f6b86bf68196074fd446e03,R-DST-001,,,
012ce4e12f6594a56f6b86bf68196074fd446e03,R-CRD-001,,,
012ce4e12f6594a56f6b86bf68196074fd446e03,R-TGR-001,,,
017f98ab84a380c3edf30b470d1ca43448254a99,R-NET-002,,,
017f98ab84a380c3edf30b470d1ca43448254a99,R-PRV-001,,,
017f98ab84a380c3edf30b470d1ca43448254a99,R-CRD-001,,,
017f98ab84a380c3edf30b470d1ca43448254a99,R-PER-001,,,
0004314a114a096862e9a3a835acdda28b8b1692,R-RCE-001,,,
0004314a114a096862e9a3a835acdda28b8b1692,R-DST-001,,,
0004314a114a096862e9a3a835acdda28b8b1692,R-CRD-001,,,
00f5ecd39875bea42d3ca1c7ae1c9c3cdb7b9d6d,R-CRD-001,,,
01453c2297b7e3af88e29f3d91424d6891fe1240,R-CRD-001,,,
0035fe1d82573786ed18d01e5f30ebda01ceec2b,R-CRD-001,,,
00652eb326b2a7a67d09bfa0a161a6ab0b4ab885,R-DST-001,,,
001e5344cd831468474b8d49437dc9ede02efc52,R-DST-001,,,
005dc0cb2c08aa3dc10144ee2e291a332219c543,R-DST-001,,,
000e79c10ed3d61b4c2015b9531e8b4c4abea08a,R-DST-001,,,
0028d31a7a876a8c253a34f62a0290fe8eee3129,R-DST-001,,,
0028d31a7a876a8c253a34f62a0290fe8eee3129,R-PRV-001,,,
00477027e3301176ab85207f28837f9828932bfb,R-DST-001,,,
002b02be65803cd852f813b6b77c1e45c39afafb,R-DST-001,,,
002b02be65803cd852f813b6b77c1e45c39afafb,R-PRV-001,,,
00ae3b3fc1689a5a8a6c187ed1c50e6c78fb5c8f,R-DST-001,,,
0036fb0494de2d83b4c38db8e5fee7592ba6eb1c,R-DST-001,,,
0044b086eccf3b98fffa6486d769a310a27fd6cd,R-DST-001,,,
007b5a93ad53dc1b010d6ffbc4169f84e42acb95,R-EXE-001,,,
01345cc3135ee8d4cd460b23ef5a5e3b81ca4160,R-EXE-001,,,
0058b51aff02bee6bf6785c573bacbf8a0dc6162,R-RCE-001,,,
0058b51aff02bee6bf6785c573bacbf8a0dc6162,R-NET-002,,,
0058b51aff02bee6bf6785c573bacbf8a0dc6162,R-EXE-001,,,
0058b51aff02bee6bf6785c573bacbf8a0dc6162,R-OBF-001,,,
0194dd4f1795cd981a366438a9da281341963d7d,R-EXE-001,,,
0085dd75cbfaf6f76e5861096e2373ec3526a83c,R-EXE-001,,,
005a55cad3182b3563ecdf07c2b1568cc87e38f2,R-EXE-001,,,
00d08c06fb54aa2f4dbba9872836ab40781cd6e7,R-EXE-001,,,
00b9907e823c1b38356887ca1a87aa83244bc078,R-EXE-001,,,
0027b42bc41bbc83d233ec745dbcd5f72c3743a3,R-EXE-001,,,
006c9cf761ef0ffdff357c8201533fcaad5b0f5a,R-EXE-001,,,
01962e498754aa9211ebad91489b037ed99b6d77,R-EXF-001,,,
00e063fc4ead798d3e611cf6871ba8eaf1a326ce,R-EXF-001,,,
007c3c15edcb9b6934edd2f6bfc8d28bd18a359e,R-EXF-001,,,
011bfc816f400af136ac4237d20172d79476fc0a,R-EXF-001,,,
011bfc816f400af136ac4237d20172d79476fc0a,R-PRV-001,,,
013e0ce725b42417fb8b7d16ce292a101ebcf042,R-EXF-001,,,
01b065442f611250b8d752ccd0c93b9571ead154,R-EXF-001,,,
00a6a4e1278c16f268112b378b4e44bed435737a,R-EXF-001,,,
0077b1365b555c819d738c3e9df531b59c57744f,R-EXF-001,,,
008542dd354bf706359b901ab6c1e3a7506457d3,R-NET-002,,,
00024699e4d03826491317625028f238c14c2acf,R-NET-002,,,
01163b19e79c84930fd023e7f9325727d25fdad7,R-NET-002,,,
01163b19e79c84930fd023e7f9325727d25fdad7,R-PRV-001,,,
0019b3797f0b5df52eafd190bdc6f55b0445c6cd,R-NET-002,,,
00e708bf654afde15ef1f3b0b00049fad61463b3,R-NET-002,,,
00e708bf654afde15ef1f3b0b00049fad61463b3,R-TGR-001,,,
018a7039f60727befcd0d2974c5986b5763f9d8d,R-NET-002,,,
018a7039f60727befcd0d2974c5986b5763f9d8d,R-OBF-001,,,
003f518f937bc77673988c60edd081adbdeb4b51,R-NET-002,,,
003f518f937bc77673988c60edd081adbdeb4b51,R-PER-001,,,
015b31aad8a3311d2012e43557c6f989d9b4c5ee,R-NET-002,,,
015b31aad8a3311d2012e43557c6f989d9b4c5ee,R-DST-001,,,
015b31aad8a3311d2012e43557c6f989d9b4c5ee,R-OVR-001,,,
015b31aad8a3311d2012e43557c6f989d9b4c5ee,R-EXE-001,,,
00ace9d57c3d371bd1890eec3125d6f1445db136,R-NET-002,,,
003e5a83501939ea7b15469ec67239693ea624b4,R-OBF-001,,,
002194ad6704567be98bdd7fa035c5d541000c7c,R-OBF-001,,,
018a1106dd7b21ce94f3f571769980af930db1b7,R-OBF-001,,,
002902fa2e573e91a32607e01eaa642ce18d4b8e,R-PRV-001,,,
002902fa2e573e91a32607e01eaa642ce18d4b8e,R-TGR-001,,,
002902fa2e573e91a32607e01eaa642ce18d4b8e,R-OBF-001,,,
01618fca1be4a40eed0e73da6fe7a640b4f50aa1,R-PRV-001,,,
01618fca1be4a40eed0e73da6fe7a640b4f50aa1,R-TGR-001,,,
01618fca1be4a40eed0e73da6fe7a640b4f50aa1,R-OBF-001,,,
0166b05473998bc705c5a82b0195878f5b09eff3,R-OBF-001,,,
002f6408d8ec1d54e8d1e13303637c8462a7e027,R-DST-001,,,
002f6408d8ec1d54e8d1e13303637c8462a7e027,R-OBF-001,,,
0032b004c1f1175e52833c65d87faba53e26a8ff,R-EXE-001,,,
0032b004c1f1175e52833c65d87faba53e26a8ff,R-OBF-001,,,
0039127e3b0c4755c70f85e9f35bd271844b75a9,R-EXE-001,,,
0039127e3b0c4755c70f85e9f35bd271844b75a9,R-OBF-001,,,
01b150d16b5b0b51cb6ff5f4ac669abd43b266f0,R-OBF-001,,,
0069cb965f50c0238e6d9742af544f26471e5817,R-OVR-001,,,
00db746d4cf8e949cc30a991e883e6ec39e429dc,R-OVR-001,,,
00db746d4cf8e949cc30a991e883e6ec39e429dc,R-PER-001,,,
000afb47313b200a3c6e26a2ab642a71975f7c8b,R-OVR-001,,,
007d5239991ef5b5595db7e884f28cfc4eccacf5,R-OVR-001,,,
00f496c220edd2ca3e40b26aa721a293fe3ac258,R-OVR-001,,,
0140f945da3ad0f2620f1e31c11a566e5081d75c,R-OVR-001,,,
01600fa7c46fec93474821db96e8d68906cafc45,R-TGR-001,,,
01600fa7c46fec93474821db96e8d68906cafc45,R-OVR-001,,,
01510439087dbf714f1a48883230000290e1776d,R-TGR-001,,,
01510439087dbf714f1a48883230000290e1776d,R-OVR-001,,,
00ecf9cc6e1d53ef50fa77a2126020264b8d9924,R-CRD-001,,,
00ecf9cc6e1d53ef50fa77a2126020264b8d9924,R-OVR-001,,,
00ecf9cc6e1d53ef50fa77a2126020264b8d9924,R-EXE-001,,,
00ecf9cc6e1d53ef50fa77a2126020264b8d9924,R-PER-001,,,
009ee53551a8cbd44dff8bffd06b45bcd382b75c,R-OVR-001,,,
00ea56ba11ec66e647a61f420937a56025bda0fc,R-PRV-001,,,
00ea56ba11ec66e647a61f420937a56025bda0fc,R-PER-001,,,
0168dfd5e92fbc7b490598fdc3c5dc74ba1e63b6,R-PER-001,,,
011272af4ea186d6aac29a705b2bb93e0a346b60,R-TGR-001,,,
011272af4ea186d6aac29a705b2bb93e0a346b60,R-PER-001,,,
00ffaec6208faf7436da10a0603798709ca4747b,R-RCE-001,,,
00ffaec6208faf7436da10a0603798709ca4747b,R-PER-001,,,
01137be9c2d14078aebf79a6de5b050ddded64fa,R-PRV-001,,,
01137be9c2d14078aebf79a6de5b050ddded64fa,R-PER-001,,,
001a3130fa03b7fccaec899cf0bb82fe9cfef54a,R-OVR-001,,,
001a3130fa03b7fccaec899cf0bb82fe9cfef54a,R-PER-001,,,
0034bac287deee6453f505e3c9083196216e5a67,R-PER-001,,,
014634f92f1be9eeef0087f4d6d25ecf1613ebaa,R-DST-001,,,
014634f92f1be9eeef0087f4d6d25ecf1613ebaa,R-PRV-001,,,
014634f92f1be9eeef0087f4d6d25ecf1613ebaa,R-CRD-001,,,
014634f92f1be9eeef0087f4d6d25ecf1613ebaa,R-PER-001,,,
018e643720d2542286315aafc26dcdab69324515,R-PRV-001,,,
018e643720d2542286315aafc26dcdab69324515,R-CRD-001,,,
018e643720d2542286315aafc26dcdab69324515,R-PER-001,,,
00989bc8116f5af3421805aa37d79b381bb930a5,R-PER-001,,,
0138b50a0454dccbae78c9aa666c1773ef003746,R-PRV-001,,,
005515f5cb4c8171faeb3ef2aa5eda3979245a1b,R-PRV-001,,,
000bf0d8cc78c00c772df3d712a72d34ce017c08,R-PRV-001,,,
001466745dc2d62a2c95ac6d011b42c83a8d6d13,R-PRV-001,,,
00d01b0936a3bc2ec372e7060db5ae57df67ad6d,R-DST-001,,,
00d01b0936a3bc2ec372e7060db5ae57df67ad6d,R-PRV-001,,,
00caa9c63b64033305b1215c87eb4ec5a1ed4b28,R-DST-001,,,
00caa9c63b64033305b1215c87eb4ec5a1ed4b28,R-PRV-001,,,
00caa9c63b64033305b1215c87eb4ec5a1ed4b28,R-PER-001,,,
005385ccc93cc7e1f639dd68a937feb50d2eb98e,R-PRV-001,,,
01348557947626d0ce55cf7f116ec485a5a7dce6,R-PRV-001,,,
01348557947626d0ce55cf7f116ec485a5a7dce6,R-CRD-001,,,
00972a0049e05e0ea8d8d4e63a371b66f51828f6,R-RCE-001,,,
00972a0049e05e0ea8d8d4e63a371b66f51828f6,R-PRV-001,,,
00972a0049e05e0ea8d8d4e63a371b66f51828f6,R-CRD-001,,,
00972a0049e05e0ea8d8d4e63a371b66f51828f6,R-EXE-001,,,
00972a0049e05e0ea8d8d4e63a371b66f51828f6,R-PER-001,,,
00ea6859ec401daba356d225daae6934a2a1b147,R-PRV-001,,,
015df8ab568b16d7ef450e2305073c5dbf6b6957,R-RCE-001,,,
009af39c2bf0e784b734a3cf94f50fc933dc53aa,R-RCE-001,,,
00ec38e83d812dffa4f8703a75fdd42b74d1e7a1,R-RCE-002,,,
00ec38e83d812dffa4f8703a75fdd42b74d1e7a1,R-PRV-001,,,
00f0552a7806e849169210ee835bc0cc72822c27,R-RCE-001,,,
006a6819d2017767bda0ead242110d26b999d7e9,R-RCE-001,,,
006a6819d2017767bda0ead242110d26b999d7e9,R-PRV-001,,,
0063349ac55691bf1ee3dc6201f6423c9f63a67e,R-RCE-001,,,
0063349ac55691bf1ee3dc6201f6423c9f63a67e,R-TGR-001,,,
0181eb5b1f83f5e267ccdfc2fafefa76a74af8e7,R-RCE-001,,,
01b171950767dbc4174a9132af29070417f10c64,R-RCE-001,,,
01b171950767dbc4174a9132af29070417f10c64,R-DST-001,,,
01b171950767dbc4174a9132af29070417f10c64,R-OVR-001,,,
01ae9236e64f5e17d1814b1c27b6e74d1ffd27f7,R-RCE-001,,,
01ae9236e64f5e17d1814b1c27b6e74d1ffd27f7,R-PRV-001,,,
004c35c74a73e6758b585711e39e2a2e58798053,R-RCE-001,,,
004c35c74a73e6758b585711e39e2a2e58798053,R-DST-001,,,
01369250537c50aa5502537dc00c32597b990bd4,R-TGR-001,,,
